,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
143,1686875184452,aircraft6,SFO_FATO1,0.0,80.0,SFO_STOCKTON,fato_arrival,37.6213780437358,-122.376427342586,0.0
144,1686875199452,aircraft6,SFO_hover_fix,0.0,78.79,SFO_STOCKTON,hover_climb_end,37.621378,-122.376427,15.0
145,1686875216026,aircraft1,Richmond_Stockton WP7,67.0,62.510000000000005,RICHMOND_STOCKTON,cruise,37.991038,-121.744975,450.0
146,1686875219452,aircraft6,SFO_departure_fix,18.0,77.79,SFO_STOCKTON,climb_transition_end,37.62357,-122.367587,45.72
147,1686875227452,aircraft3,SFO_hover_fix,0.0,67.54000000000002,RICHMOND_SFO,hover_fix_arrival,37.621378,-122.376427,15.0
148,1686875239452,aircraft6,SFO_Stockton WP1,45.0,77.10000000000001,SFO_STOCKTON,climb_end,37.580935,-122.237465,106.68
149,1686875242452,aircraft3,SFO_FATO1,0.0,66.33000000000003,RICHMOND_SFO,landed,37.6213780437358,-122.376427342586,0.0
150,1686875242453,aircraft3,SFO_FATO1,0.0,66.33000000000003,RICHMOND_SFO,ready_for_taxi_in,37.6213780437358,-122.376427342586,0.0
151,1686875242454,aircraft7,SFO_PARK15,0.0,80.0,SFO_RICHMOND,pushback,37.6218366613002,-122.375959825235,0.0
152,1686875256518,aircraft8,To stockton WP3,67.0,59.14,SJ_STOCKTON,cruise,37.754901,-121.500908,450.0
153,1686875265276,aircraft4,Intersect Richmond_SJ and SJ Richmond,67.0,66.72000000000001,SFO_SJ,cruise,37.435286,-121.908137,450.0
154,1686875271814,aircraft11,Stockton_SJ_SFO WP5,67.0,59.84,STOCKTON_SJ,cruise,37.579534,-121.539801,450.0
155,1686875272425,aircraft3,SFO_PARK12,0.0,66.33000000000003,RICHMOND_SFO,parked,37.6213445600404,-122.376082589339,0.0
156,1686875272970,aircraft7,SFO_FATO1,0.0,80.0,SFO_RICHMOND,fato_arrival,37.6213780437358,-122.376427342586,0.0
157,1686875287970,aircraft7,SFO_hover_fix,0.0,78.84,SFO_RICHMOND,hover_climb_end,37.621378,-122.376427,15.0
158,1686875294030,aircraft9,SJ_SFO WP5,67.0,65.0,SJ_SFO,cruise,37.532833,-122.300403,450.0
159,1686875307970,aircraft7,SFO_departure_fix,18.0,77.89,SFO_RICHMOND,climb_transition_end,37.62357,-122.367587,45.72
160,1686875307971,aircraft0,SFO_PARK11,0.0,66.33000000000003,SFO_SJ,pushback,37.6216274502736,-122.37623209125,0.0
161,1686875327970,aircraft7,SFO_RICHMOND_waypoint_1,45.0,77.24,SFO_RICHMOND,climb_end,37.655569,-122.340401,106.68
162,1686875334366,aircraft13,STOCKTON_PARK14,0.0,80.0,STOCKTON_RICHMOND,aircraft_allocation,37.9381213326703,-121.350719068341,0.0
163,1686875338488,aircraft0,SFO_FATO1,0.0,66.33000000000003,SFO_SJ,fato_arrival,37.6213780437358,-122.376427342586,0.0
164,1686875353488,aircraft0,SFO_hover_fix,0.0,65.34000000000003,SFO_SJ,hover_climb_end,37.621378,-122.376427,15.0
165,1686875369553,aircraft10,SJ_Richmond WP6,67.0,65.30000000000001,SJ_RICHMOND,cruise,37.661518,-122.082115,450.0
166,1686875373488,aircraft0,SFO_departure_fix,18.0,64.54000000000003,SFO_SJ,climb_transition_end,37.62357,-122.367587,45.72
167,1686875377934,aircraft5,SFO_SJ_waypoint_2,56.0,74.02000000000001,SFO_SJ,cruise,37.579685,-122.146453,450.0
168,1686875378276,aircraft4,Split Richmond_SJ WP9,67.0,64.68,SFO_SJ,cruise,37.377255,-121.863401,106.68
169,1686875393488,aircraft0,SFO_SJ_waypoint_1,45.0,64.02000000000004,SFO_SJ,climb_end,37.620013,-122.266036,106.68
170,1686875394276,aircraft4,SJ_approach_fix,36.0,64.64,SFO_SJ,final_approach_fix_arrival,37.311332,-121.84835,45.72
171,1686875402276,aircraft4,SJ_hover_fix,0.0,64.33,SFO_SJ,hover_fix_arrival,37.305658,-121.8540561,15.0
172,1686875414030,aircraft9,SJ_SFO WP6,67.0,62.83,SJ_SFO,cruise,37.587997,-122.359024,106.68
173,1686875417276,aircraft4,SJ_FATO1,0.0,63.12,SFO_SJ,landed,37.3056580008058,-121.85405613654,0.0
174,1686875417277,aircraft4,SJ_FATO1,0.0,63.12,SFO_SJ,ready_for_taxi_in,37.3056580008058,-121.85405613654,0.0
175,1686875430030,aircraft9,SFO_approach_fix,36.0,62.79,SJ_SFO,final_approach_fix_arrival,37.61423,-122.378428,45.72
176,1686875438030,aircraft9,SFO_hover_fix,0.0,62.48,SJ_SFO,hover_fix_arrival,37.621378,-122.376427,15.0
177,1686875447794,aircraft4,SJ_PARK11,0.0,63.12,SJ_STOCKTON,parked,37.3056597660769,-121.853676385641,0.0
178,1686875447795,aircraft4,SJ_PARK11,0.0,63.12,SJ_STOCKTON,aircraft_allocation,37.3056597660769,-121.853676385641,0.0
179,1686875452425,aircraft3,SFO_PARK12,0.0,66.33000000000003,SFO_RICHMOND,aircraft_allocation,37.6213445600404,-122.376082589339,0.0
180,1686875453030,aircraft9,SFO_FATO1,0.0,61.269999999999996,SJ_SFO,landed,37.6213780437358,-122.376427342586,0.0
181,1686875453031,aircraft9,SFO_FATO1,0.0,61.269999999999996,SJ_SFO,ready_for_taxi_in,37.6213780437358,-122.376427342586,0.0
182,1686875454364,aircraft13,STOCKTON_PARK14,0.0,80.0,STOCKTON_RICHMOND,pushback,37.9381213326703,-121.350719068341,0.0
183,1686875464970,aircraft7,SFO_RICHMOND_waypoint_2,56.0,75.25999999999999,SFO_RICHMOND,cruise,37.722559,-122.318102,450.0
184,1686875467309,aircraft12,Stockton_Richmond WP7,67.0,65.36999999999998,STOCKTON_RICHMOND,cruise,37.984094,-121.745411,450.0
185,1686875467814,aircraft11,Stockton_SJ_SFO WP6,67.0,56.300000000000004,STOCKTON_SJ,cruise,37.484241,-121.62822,450.0
186,1686875483003,aircraft9,SFO_PARK13,0.0,61.269999999999996,SJ_SFO,parked,37.6215043664746,-122.375878694175,0.0
187,1686875483004,aircraft9,SFO_PARK13,0.0,61.269999999999996,SFO_RICHMOND,aircraft_allocation,37.6215043664746,-122.375878694175,0.0
188,1686875484882,aircraft13,STOCKTON_FATO1,0.0,80.0,STOCKTON_RICHMOND,fato_arrival,37.9381903031836,-121.350342496127,0.0
189,1686875503518,aircraft8,To stockton WP4,67.0,54.68,SJ_STOCKTON,cruise,37.875994,-121.390534,450.0
190,1686875519882,aircraft13,Stockton FATO,0.0,77.56,STOCKTON_RICHMOND,hover_climb_end,37.93819,-121.350342,45.72
191,1686875530026,aircraft1,Richmond_Stockton WP8,67.0,56.830000000000005,RICHMOND_STOCKTON,cruise,37.98791,-121.504677,450.0
192,1686875543934,aircraft5,Merge Richmond_SJ and SFO_SJ,67.0,71.02000000000001,SFO_SJ,cruise,37.541639,-122.030063,450.0
193,1686875560882,aircraft13,Stockton Departure Fix,18.0,75.82000000000001,STOCKTON_RICHMOND,climb_transition_end,37.931267,-121.347174,106.68
194,1686875567794,aircraft4,SJ_PARK11,0.0,63.12,SJ_STOCKTON,pushback,37.3056597660769,-121.853676385641,0.0
195,1686875572425,aircraft3,SFO_PARK12,0.0,66.33000000000003,SFO_RICHMOND,pushback,37.6213445600404,-122.376082589339,0.0
